application_login,application_password,user_type
JOHNDOE,JOHNDOE,0
MARYJANE,MARYJANE,0
GABRIELGO,GABRIELGO,0
ANNECURTIS,ANNECURTIS,0
FRANCOREYES,FRANCOREYES,0
LOVIPOE,LOVIPOE,0
LOKIODINSON,LOKIODINSON,0
YELENABELOVA,YELENABELOVA,0
TONYSTARK,TONYSTARK,0
MARIANRIVERA,MARIANRIVERA,0
ACASTILLO,ACASTILLO,1
ACHIN,ACHIN,1
ADAVIS,ADAVIS,1
AKINGSTON,AKINGSTON,1
ALONG,ALONG,1
AROSAS,AROSAS,1
ASPOMER,ASPOMER,1
AVELLARDITA,AVELLARDITA,1
ARUSSELL,ARUSSELL,1
BJONES,BJONES,1
BHAMM,BHAMM,1
CFREYSINGER,CFREYSINGER,1
DVINSON,DVINSON,1
CKING,CKING,1
HRODRIGUEZ,HRODRIGUEZ,1
WNARANJO,WNARANJO,2
MMCELROY,MMCELROY,2
YWILLIAMS,YWILLIAMS,2
DPLASTER,DPLASTER,2
RPAYAN,RPAYAN,2
WHOWELL,WHOWELL,2
MODDEN,MODDEN,2
CTURNER,CTURNER,2
WSANCHEZ,WSANCHEZ,2
RHARRIS,RHARRIS,2
MRODRIGUEZHERNANDEZ,MRODRIGUEZHERNANDEZ,2
CVILLALOBOS,CVILLALOBOS,2
KCLARK,KCLARK,2
LDAVID,LDAVID,2
AFLORES,AFLORES,2
FANGELMANAGER,FANGELMANAGER,2
SAIPRATHAP.R,SAIPRATHAP.R,2
BROCK,BROCK,2
AFLORESSOLIS,AFLORESSOLIS,2
MTREMBLAY,MTREMBLAY,2
NOVERBEY,NOVERBEY,2
JMOLINA,JMOLINA,2
LROHDE,LROHDE,2
BRAY,BRAY,2
AFLORES_MGR,AFLORES_MGR,2
ASOLIS,ASOLIS,2
RKUTTY,RKUTTY,2
